speed,i_2,i_3
2.6462,0.0,45.62
2.7256,0.2,45.42
2.8049,0.4,45.22
2.8822,0.6,45.02
2.9557,0.8,44.82
3.024,1.0,44.62
3.0859,1.2,44.42
3.1404,1.4,44.22
3.1867,1.6,44.02
3.2242,1.8,43.82
3.2524,2.0,43.62
3.271,2.2,43.42
3.2796,2.4,43.22
3.2783,2.6,43.02
3.2669,2.8,42.82
3.2456,3.0,42.62
3.2146,3.2,42.42
3.1742,3.4,42.22
3.1249,3.6,42.02
3.0672,3.8,41.82
3.0018,4.0,41.62
2.9294,4.2,41.42
2.851,4.4,41.22
2.7678,4.6,41.02
2.6813,4.8,40.82
2.5938,5.0,40.62
2.5101,5.2,40.42
2.444,5.4,40.22
2.4287,5.6,40.02
2.4712,5.8,39.82
2.5382,6.0,39.62
2.6137,6.2,39.42
2.6925,6.4,39.22
2.7721,6.6,39.02
2.8504,6.8,38.82
2.9257,7.0,38.62
2.9963,7.2,38.42
3.061,7.4,38.22
3.1186,7.6,38.02
3.1684,7.8,37.82
3.2097,8.0,37.62
3.2418,8.2,37.42
3.2644,8.4,37.22
3.2772,8.6,37.02
3.2801,8.8,36.82
3.2728,9.0,36.62
3.2557,9.2,36.42
3.2287,9.4,36.22
3.1921,9.6,36.02
3.1465,9.8,35.82
3.0922,10.0,35.62
