speed,i_2,i_3
2.6453,0.0,45.62
2.7245,0.2,45.42
2.8032,0.4,45.22
2.8794,0.6,45.02
2.9515,0.8,44.82
3.0182,1.0,44.62
3.0785,1.2,44.42
3.1313,1.4,44.22
3.176,1.6,44.02
3.212,1.8,43.82
3.2388,2.0,43.62
3.256,2.2,43.42
3.2636,2.4,43.22
3.2613,2.6,43.02
3.2492,2.8,42.82
3.2273,3.0,42.62
3.196,3.2,42.42
3.1555,3.4,42.22
3.1063,3.6,42.02
3.0489,3.8,41.82
2.9841,4.0,41.62
2.9125,4.2,41.42
2.8352,4.4,41.22
2.7534,4.6,41.02
2.6685,4.8,40.82
2.5832,5.0,40.62
2.5025,5.2,40.42
2.4404,5.4,40.22
2.4274,5.6,40.02
2.4696,5.8,39.82
2.5368,6.0,39.62
2.6127,6.2,39.42
2.6915,6.4,39.22
2.7707,6.6,39.02
2.8481,6.8,38.82
2.9221,7.0,38.62
2.9912,7.2,38.42
3.0543,7.4,38.22
3.1103,7.6,38.02
3.1584,7.8,37.82
3.1981,8.0,37.62
3.2288,8.2,37.42
3.25,8.4,37.22
3.2616,8.6,37.02
3.2634,8.8,36.82
3.2554,9.0,36.62
3.2376,9.2,36.42
3.2101,9.4,36.22
3.1734,9.6,36.02
3.1278,9.8,35.82
3.0737,10.0,35.62
