speed,i_2,i_3
2.6441,0.0,45.62
2.7232,0.2,45.42
2.8012,0.4,45.22
2.8762,0.6,45.02
2.9469,0.8,44.82
3.012,1.0,44.62
3.0705,1.2,44.42
3.1216,1.4,44.22
3.1645,1.6,44.02
3.1989,1.8,43.82
3.2242,2.0,43.62
3.2401,2.2,43.42
3.2464,2.4,43.22
3.2431,2.6,43.02
3.2302,2.8,42.82
3.2077,3.0,42.62
3.176,3.2,42.42
3.1354,3.4,42.22
3.0863,3.6,42.02
3.0293,3.8,41.82
2.9651,4.0,41.62
2.8944,4.2,41.42
2.8183,4.4,41.22
2.7379,4.6,41.02
2.6548,4.8,40.82
2.5719,5.0,40.62
2.4945,5.2,40.42
2.4367,5.4,40.22
2.4261,5.6,40.02
2.468,5.8,39.82
2.5353,6.0,39.62
2.6114,6.2,39.42
2.6903,6.4,39.22
2.769,6.6,39.02
2.8454,6.8,38.82
2.9181,7.0,38.62
2.9857,7.2,38.42
3.047,7.4,38.22
3.1013,7.6,38.02
3.1477,7.8,37.82
3.1857,8.0,37.62
3.2148,8.2,37.42
3.2346,8.4,37.22
3.2449,8.6,37.02
3.2456,8.8,36.82
3.2367,9.0,36.62
3.2182,9.2,36.42
3.1903,9.4,36.22
3.1534,9.6,36.02
3.1077,9.8,35.82
3.054,10.0,35.62
