speed,i_2,i_3
2.6488,0.0,45.62
2.7286,0.2,45.42
2.8123,0.4,45.22
2.8969,0.6,45.02
2.9796,0.8,44.82
3.0582,1.0,44.62
3.1307,1.2,44.42
3.1958,1.4,44.22
3.2523,1.6,44.02
3.2995,1.8,43.82
3.3366,2.0,43.62
3.3631,2.2,43.42
3.3787,2.4,43.22
3.3831,2.6,43.02
3.3763,2.8,42.82
3.3583,3.0,42.62
3.3292,3.2,42.42
3.2894,3.4,42.22
3.2393,3.6,42.02
3.1794,3.8,41.82
3.1103,4.0,41.62
3.0329,4.2,41.42
2.948,4.4,41.22
2.8567,4.6,41.02
2.7603,4.8,40.82
2.6604,5.0,40.62
2.5598,5.2,40.42
2.4677,5.4,40.22
2.4362,5.6,40.02
2.4822,5.8,39.82
2.5459,6.0,39.62
2.6172,6.2,39.42
2.6948,6.4,39.22
2.7772,6.6,39.02
2.8618,6.8,38.82
2.9456,7.0,38.62
3.0261,7.2,38.42
3.1014,7.4,38.22
3.1697,7.6,38.02
3.2299,7.8,37.82
3.2811,8.0,37.62
3.3224,8.2,37.42
3.3534,8.4,37.22
3.3736,8.6,37.02
3.3827,8.8,36.82
3.3805,9.0,36.62
3.3672,9.2,36.42
3.3427,9.4,36.22
3.3073,9.6,36.02
3.2614,9.8,35.82
3.2054,10.0,35.62
